total,state,zone,date,sales
total,State 3,Zone Q,2020-03-19,3481
total,State 3,Zone R,2021-05-24,5160
total,State 3,Zone Q,2023-06-25,4164
total,State 1,Zone R,2023-01-21,11204
total,State 3,Zone Q,2023-04-30,7141
total,State 2,Zone P,2022-05-16,8575
total,State 2,Zone Q,2023-12-05,15066
total,State 2,Zone P,2023-10-13,10342
total,State 2,Zone R,2021-09-18,8363
total,State 2,Zone R,2020-10-07,7055
total,State 2,Zone P,2022-05-04,10981
total,State 1,Zone Q,2022-04-29,6796
total,State 2,Zone Q,2023-10-17,6661
total,State 3,Zone R,2020-09-24,5096
total,State 1,Zone Q,2020-04-23,7452
total,State 2,Zone Q,2022-05-29,9578
total,State 1,Zone Q,2023-05-12,5729
total,State 2,Zone Q,2021-04-22,11389
total,State 3,Zone Q,2022-08-01,3042
total,State 1,Zone P,2023-07-14,4762
total,State 3,Zone R,2022-07-15,3917
total,State 1,Zone R,2022-09-23,4879
total,State 3,Zone Q,2021-01-17,5455
total,State 1,Zone Q,2023-09-19,7700
total,State 2,Zone Q,2020-11-10,9941
total,State 1,Zone P,2022-12-03,9395
total,State 3,Zone R,2020-02-04,3530
total,State 3,Zone P,2020-10-03,7549
total,State 3,Zone Q,2020-11-30,4416
total,State 1,Zone P,2023-04-02,8398
total,State 1,Zone R,2021-11-29,4746
total,State 1,Zone Q,2022-04-03,9384
total,State 2,Zone P,2023-09-22,7185
total,State 1,Zone R,2021-12-21,7819
total,State 1,Zone R,2023-07-12,5824
total,State 1,Zone R,2021-11-28,9402
total,State 2,Zone P,2023-01-13,9369
total,State 3,Zone P,2022-02-15,3939
total,State 1,Zone P,2020-09-09,4984
total,State 2,Zone P,2022-09-02,10155
total,State 1,Zone R,2020-10-10,9146
total,State 1,Zone R,2020-06-18,5217
total,State 3,Zone R,2020-09-09,5085
total,State 3,Zone R,2021-11-06,8921
total,State 3,Zone Q,2021-07-29,2632
total,State 1,Zone P,2023-03-22,5870
total,State 2,Zone Q,2022-10-22,10770
total,State 2,Zone P,2022-02-05,11571
total,State 3,Zone P,2022-04-16,7467
total,State 1,Zone P,2022-01-27,9236
total,State 1,Zone R,2023-11-07,5787
total,State 1,Zone R,2022-01-22,8346
total,State 1,Zone R,2022-01-23,9824
total,State 3,Zone R,2021-01-04,6778
total,State 2,Zone P,2021-08-10,8070
total,State 2,Zone R,2023-09-19,8124
total,State 2,Zone P,2021-11-24,13575
total,State 1,Zone R,2022-06-25,6708
total,State 2,Zone P,2020-11-05,11133
total,State 3,Zone Q,2020-10-08,4226
total,State 2,Zone Q,2022-07-08,6838
total,State 2,Zone Q,2020-01-29,9575
total,State 2,Zone R,2023-12-12,7946
total,State 1,Zone P,2022-05-30,6156
total,State 1,Zone P,2022-09-08,7872
total,State 2,Zone P,2023-10-04,8294
total,State 1,Zone Q,2023-03-07,6727
total,State 2,Zone Q,2022-03-28,5362
total,State 3,Zone P,2021-03-17,5293
total,State 2,Zone P,2021-12-25,14558
total,State 3,Zone P,2022-01-04,6260
total,State 2,Zone P,2021-11-21,17161
total,State 1,Zone R,2022-09-26,6401
total,State 2,Zone P,2021-04-25,8724
total,State 3,Zone Q,2022-08-18,4193
total,State 1,Zone P,2020-07-21,5056
total,State 3,Zone R,2021-02-11,3865
total,State 1,Zone P,2020-07-28,4940
total,State 2,Zone Q,2021-03-04,10142
total,State 3,Zone R,2022-10-29,4495
total,State 1,Zone R,2021-10-24,7718
total,State 1,Zone Q,2022-02-14,5599
total,State 3,Zone Q,2020-08-24,2299
total,State 1,Zone R,2021-03-02,6075
total,State 3,Zone R,2021-06-14,2046
total,State 2,Zone P,2022-03-28,6550
total,State 2,Zone Q,2022-03-22,10861
total,State 2,Zone Q,2023-10-31,10327
total,State 2,Zone Q,2022-12-26,7190
total,State 1,Zone R,2023-10-24,6472
total,State 1,Zone P,2021-03-08,4752
total,State 2,Zone Q,2023-05-26,7821
total,State 3,Zone P,2023-07-25,3980
total,State 2,Zone P,2023-11-09,13820
total,State 1,Zone P,2021-07-27,4386
total,State 2,Zone Q,2022-11-02,9092
total,State 2,Zone Q,2023-02-18,12650
total,State 2,Zone R,2022-06-01,5035
total,State 1,Zone Q,2021-07-22,3297
total,State 1,Zone Q,2023-04-10,3564
total,State 1,Zone P,2021-12-01,10441
total,State 3,Zone R,2022-08-09,3365
total,State 3,Zone Q,2020-03-20,5381
total,State 3,Zone Q,2023-03-02,5705
total,State 2,Zone Q,2022-12-11,10328
total,State 2,Zone P,2023-06-28,5679
total,State 2,Zone P,2023-08-13,8818
total,State 3,Zone P,2021-09-14,3958
total,State 1,Zone R,2023-12-29,6157
total,State 1,Zone Q,2023-07-20,3311
total,State 3,Zone P,2023-12-12,8329
total,State 2,Zone Q,2023-10-01,9128
total,State 1,Zone P,2021-02-26,7404
total,State 2,Zone Q,2023-05-19,7141
total,State 2,Zone Q,2020-09-29,7102
total,State 3,Zone P,2021-11-23,8561
total,State 2,Zone P,2023-06-01,5603
total,State 1,Zone Q,2022-11-02,5936
total,State 3,Zone P,2023-07-04,4702
total,State 2,Zone P,2022-08-14,5173
total,State 3,Zone Q,2022-09-27,5927
total,State 2,Zone P,2022-08-03,6308
total,State 2,Zone R,2020-03-24,10694
total,State 3,Zone P,2021-12-09,6048
total,State 2,Zone R,2022-12-07,8446
total,State 2,Zone P,2021-11-29,7929
total,State 1,Zone Q,2022-07-20,3298
total,State 2,Zone Q,2022-01-21,13402
total,State 3,Zone P,2021-04-14,5166
total,State 1,Zone P,2021-09-28,6782
total,State 3,Zone Q,2020-03-16,3532
total,State 3,Zone Q,2020-07-18,3672
total,State 2,Zone R,2021-08-22,6190
total,State 2,Zone R,2023-06-08,5788
total,State 2,Zone Q,2021-01-05,14119
total,State 3,Zone P,2023-06-06,2822
total,State 3,Zone P,2020-06-04,2418
total,State 2,Zone P,2021-07-15,7346
total,State 1,Zone R,2021-01-06,5678
total,State 2,Zone Q,2021-06-21,4208
total,State 2,Zone P,2023-05-06,7862
total,State 2,Zone P,2022-01-09,17714
total,State 2,Zone Q,2020-03-14,12152
total,State 3,Zone Q,2021-11-01,4861
total,State 3,Zone R,2021-06-29,2739
total,State 1,Zone R,2023-08-13,6869
total,State 1,Zone Q,2023-12-15,9385
total,State 2,Zone R,2021-07-16,5927
total,State 1,Zone Q,2020-05-06,4182
total,State 1,Zone Q,2022-12-07,8870
total,State 2,Zone R,2020-07-17,5852
total,State 1,Zone R,2021-09-11,5628
total,State 3,Zone P,2021-08-18,4365
total,State 1,Zone R,2021-03-10,5530
total,State 1,Zone R,2021-12-22,7765
total,State 2,Zone Q,2022-09-10,10947
total,State 3,Zone P,2023-09-11,3745
total,State 3,Zone Q,2022-03-13,5717
total,State 2,Zone P,2022-04-21,7524
total,State 2,Zone P,2020-01-31,8982
total,State 3,Zone P,2021-06-30,4645
total,State 3,Zone Q,2022-03-09,5778
total,State 1,Zone Q,2023-11-28,6966
total,State 1,Zone Q,2023-03-29,6622
total,State 1,Zone P,2020-09-17,7445
total,State 3,Zone Q,2022-07-16,4322
total,State 1,Zone Q,2020-12-05,6556
total,State 3,Zone P,2020-11-01,9456
total,State 3,Zone R,2020-02-06,6247
total,State 3,Zone Q,2023-07-21,3394
total,State 3,Zone P,2022-08-19,2567
total,State 3,Zone Q,2022-04-18,3695
total,State 3,Zone Q,2020-05-14,3414
total,State 3,Zone Q,2020-07-29,3177
total,State 3,Zone Q,2022-04-30,5443
total,State 1,Zone R,2021-07-01,3276
total,State 3,Zone Q,2021-09-28,4801
total,State 1,Zone Q,2020-01-09,9355
total,State 1,Zone P,2020-03-31,5713
total,State 1,Zone R,2020-09-29,6346
total,State 3,Zone R,2022-03-30,5082
total,State 1,Zone Q,2023-08-21,3604
total,State 1,Zone Q,2021-01-11,5992
total,State 1,Zone Q,2021-09-07,4831
total,State 2,Zone R,2020-04-27,7522
total,State 2,Zone Q,2021-12-07,8122
total,State 3,Zone Q,2021-12-25,8148
total,State 3,Zone R,2023-02-02,5268
total,State 2,Zone P,2023-04-29,10104
total,State 3,Zone P,2022-11-28,4451
total,State 1,Zone Q,2022-08-13,6815
total,State 3,Zone Q,2020-02-06,5594
total,State 1,Zone Q,2021-10-16,5722
total,State 1,Zone P,2023-07-10,3748
total,State 2,Zone Q,2023-08-29,6619
total,State 1,Zone P,2021-11-13,7896
total,State 1,Zone Q,2021-03-18,6682
total,State 2,Zone P,2021-01-11,9711
total,State 3,Zone P,2021-11-27,9734
total,State 2,Zone Q,2020-02-09,11528
total,State 2,Zone P,2021-08-30,6105
total,State 1,Zone R,2023-01-02,5201
total,State 1,Zone R,2023-06-28,4089
total,State 3,Zone Q,2021-10-02,6575
total,State 1,Zone R,2023-04-16,9688
total,State 3,Zone P,2020-10-11,4551
total,State 1,Zone Q,2021-07-04,5594
total,State 2,Zone Q,2023-08-15,4350
total,State 3,Zone Q,2023-02-26,5825
total,State 1,Zone Q,2020-01-04,8387
total,State 1,Zone Q,2020-10-08,5627
total,State 3,Zone P,2020-01-25,5548
total,State 1,Zone Q,2022-12-25,6752
total,State 2,Zone R,2020-02-13,5969
total,State 2,Zone R,2023-06-19,5854
total,State 3,Zone R,2021-11-15,4537
total,State 2,Zone P,2023-12-29,7926
total,State 3,Zone Q,2020-04-30,3872
total,State 1,Zone Q,2020-01-22,7153
total,State 2,Zone P,2022-03-24,11001
total,State 2,Zone R,2023-10-19,10278
total,State 3,Zone Q,2021-02-01,4046
total,State 3,Zone Q,2021-10-22,5708
total,State 3,Zone P,2020-01-28,5373
total,State 1,Zone Q,2020-09-22,4378
total,State 2,Zone Q,2021-01-31,11966
total,State 2,Zone Q,2022-09-30,8188
total,State 3,Zone R,2021-06-02,3598
total,State 2,Zone R,2021-10-07,6578
total,State 1,Zone P,2023-03-23,4690
total,State 3,Zone P,2021-03-21,6989
total,State 1,Zone P,2020-02-02,8232
total,State 2,Zone R,2020-11-30,11945
total,State 3,Zone Q,2020-04-11,4524
total,State 1,Zone R,2020-04-11,7838
total,State 1,Zone R,2021-02-24,6891
total,State 1,Zone Q,2021-12-16,9670
total,State 1,Zone P,2022-02-24,5646
total,State 2,Zone R,2022-09-19,8203
total,State 3,Zone R,2023-04-30,5725
total,State 1,Zone Q,2020-12-31,6905
total,State 1,Zone R,2020-10-02,8069
total,State 2,Zone Q,2021-01-15,10285
total,State 1,Zone R,2023-02-10,6134
total,State 3,Zone R,2022-02-13,4439
total,State 3,Zone P,2020-02-23,4236
total,State 3,Zone R,2022-09-08,6069
total,State 2,Zone Q,2022-05-30,9325
total,State 1,Zone Q,2023-06-09,3807
total,State 3,Zone P,2021-06-15,2867
total,State 3,Zone P,2020-06-13,3162
total,State 3,Zone Q,2023-06-19,3640
total,State 3,Zone P,2021-05-16,7676
total,State 3,Zone Q,2021-03-24,4218
total,State 1,Zone Q,2022-03-26,8090
total,State 3,Zone P,2020-08-31,2325
total,State 2,Zone R,2021-03-27,12367
total,State 1,Zone P,2023-08-20,5391
total,State 2,Zone Q,2021-10-18,5252
total,State 3,Zone R,2022-12-29,8292
total,State 2,Zone P,2020-09-08,11493
total,State 2,Zone Q,2022-03-02,10480
total,State 2,Zone P,2020-10-29,7080
total,State 2,Zone Q,2022-08-26,6666
total,State 2,Zone P,2023-06-10,7622
total,State 1,Zone Q,2022-09-11,6223
total,State 2,Zone Q,2023-12-12,10939
total,State 1,Zone Q,2023-02-10,4758
total,State 2,Zone R,2020-07-30,6584
total,State 2,Zone P,2020-02-02,9120
total,State 1,Zone P,2020-08-14,5066
total,State 1,Zone P,2022-12-30,10629
total,State 2,Zone P,2021-09-18,12339
total,State 2,Zone P,2020-07-10,4567
total,State 3,Zone P,2022-08-27,3396
total,State 3,Zone R,2021-02-13,4670
total,State 1,Zone Q,2021-07-30,4386
total,State 1,Zone R,2020-06-26,5585
total,State 1,Zone Q,2022-03-23,8047
total,State 3,Zone Q,2022-04-09,7887
total,State 3,Zone Q,2023-05-06,4246
total,State 1,Zone P,2023-01-27,6740
total,State 2,Zone R,2021-09-22,9157
total,State 1,Zone P,2023-02-08,7686
total,State 3,Zone Q,2022-12-16,8139
total,State 2,Zone P,2023-11-19,17274
total,State 1,Zone R,2021-10-22,8173
total,State 3,Zone R,2021-01-25,6520
total,State 1,Zone P,2021-09-11,7342
total,State 2,Zone P,2021-06-28,5391
total,State 2,Zone R,2020-09-14,7567
total,State 3,Zone Q,2023-07-18,4225
total,State 2,Zone P,2020-06-09,5619
total,State 3,Zone R,2020-12-15,5648
total,State 2,Zone Q,2020-08-08,6678
total,State 3,Zone P,2020-10-05,5218
total,State 3,Zone P,2023-04-27,5141
total,State 2,Zone P,2020-11-29,15128
total,State 3,Zone P,2023-09-15,5600
total,State 2,Zone P,2023-03-23,7559
total,State 3,Zone P,2022-04-13,6277
total,State 3,Zone Q,2022-05-11,5744
total,State 2,Zone Q,2020-04-11,12794
total,State 2,Zone R,2021-08-01,6968
total,State 3,Zone R,2022-02-26,6559
total,State 3,Zone Q,2023-05-18,3468
total,State 2,Zone P,2022-01-15,10110
total,State 2,Zone R,2021-03-02,6414
total,State 2,Zone Q,2023-10-04,10429
total,State 3,Zone Q,2020-04-02,5292
total,State 3,Zone P,2023-11-04,6601
total,State 2,Zone R,2022-04-10,13094
total,State 3,Zone R,2021-12-01,5345
total,State 2,Zone P,2021-10-20,6279
total,State 2,Zone Q,2023-06-09,7104
total,State 2,Zone Q,2020-07-03,5198
total,State 2,Zone P,2020-01-03,10897
total,State 3,Zone P,2023-10-14,4860
total,State 3,Zone R,2023-04-09,4799
total,State 2,Zone Q,2021-11-23,12135
total,State 1,Zone R,2021-01-05,10528
total,State 2,Zone P,2023-06-12,6016
total,State 1,Zone R,2023-03-03,5789
total,State 1,Zone R,2021-04-21,5660
total,State 3,Zone Q,2021-11-02,8477
total,State 2,Zone R,2023-04-08,10337
total,State 3,Zone P,2022-02-11,3418
total,State 1,Zone R,2023-01-08,8682
total,State 1,Zone P,2022-05-28,7759
total,State 1,Zone R,2022-08-04,3521
total,State 2,Zone P,2022-12-12,6802
total,State 1,Zone P,2021-06-15,3783
total,State 1,Zone P,2020-08-19,5118
total,State 2,Zone R,2023-04-13,9259
total,State 1,Zone Q,2021-10-31,9437
total,State 1,Zone R,2020-07-02,5283
total,State 2,Zone P,2021-02-08,6089
total,State 2,Zone Q,2022-05-28,7518
total,State 2,Zone P,2021-10-13,10117
total,State 1,Zone Q,2023-11-27,7917
total,State 1,Zone R,2023-07-11,5578
total,State 1,Zone Q,2022-10-07,4752
total,State 1,Zone R,2020-06-22,2461
total,State 2,Zone Q,2023-06-03,9308
total,State 1,Zone R,2022-09-22,6876
total,State 2,Zone Q,2023-08-31,5770
total,State 2,Zone Q,2020-09-20,12298
total,State 2,Zone P,2022-06-16,4607
total,State 1,Zone Q,2022-06-14,3819
total,State 3,Zone Q,2021-04-30,4988
total,State 1,Zone Q,2023-01-18,6050
total,State 2,Zone R,2023-04-16,10396
total,State 2,Zone R,2021-02-24,6986
total,State 2,Zone R,2021-06-18,4682
total,State 3,Zone P,2021-11-17,7343
total,State 3,Zone Q,2020-03-01,7267
total,State 1,Zone P,2021-12-20,4893
total,State 1,Zone P,2023-02-17,6530
total,State 1,Zone R,2020-08-07,5442
total,State 2,Zone Q,2021-04-05,6513
total,State 3,Zone R,2020-05-07,5294
total,State 1,Zone P,2023-01-11,8647
total,State 1,Zone R,2022-04-03,9210
total,State 1,Zone R,2023-09-28,8119
total,State 2,Zone R,2020-03-31,6659
total,State 3,Zone P,2023-10-28,6383
total,State 3,Zone Q,2020-02-27,5999
total,State 2,Zone R,2023-02-03,6079
total,State 2,Zone Q,2020-06-25,8220
total,State 3,Zone Q,2023-08-14,3717
total,State 2,Zone Q,2023-10-19,8532
total,State 2,Zone P,2021-06-08,5653
total,State 2,Zone R,2020-09-09,9892
total,State 2,Zone Q,2023-03-27,5270
total,State 1,Zone R,2023-03-22,4276
total,State 1,Zone P,2021-08-01,4599
total,State 2,Zone R,2023-06-27,4869
total,State 1,Zone R,2020-04-25,8104
total,State 1,Zone P,2023-07-29,5756
total,State 2,Zone Q,2021-10-05,6580
total,State 1,Zone R,2022-03-21,4564
total,State 3,Zone R,2020-08-27,3163
total,State 1,Zone P,2022-07-26,4425
total,State 3,Zone P,2022-02-19,6513
total,State 2,Zone P,2023-01-06,8296
total,State 2,Zone Q,2020-03-06,6469
total,State 2,Zone Q,2023-07-21,6371
total,State 1,Zone Q,2023-09-05,7169
total,State 3,Zone P,2023-04-29,5169
total,State 1,Zone P,2023-12-09,7045
total,State 3,Zone Q,2023-12-05,6470
total,State 2,Zone R,2022-01-24,7841
total,State 2,Zone Q,2022-10-18,11431
total,State 1,Zone P,2022-11-15,10539
total,State 2,Zone R,2022-09-23,9199
total,State 1,Zone R,2023-01-26,5572
total,State 1,Zone Q,2021-12-06,8402
total,State 3,Zone R,2022-01-23,8217
total,State 2,Zone P,2022-11-26,17518
total,State 3,Zone P,2023-12-20,7638
total,State 2,Zone Q,2023-05-25,6181
total,State 3,Zone P,2021-08-08,3947
total,State 3,Zone R,2021-04-16,3586
total,State 2,Zone P,2022-04-17,13589
total,State 2,Zone R,2021-10-29,11474
total,State 3,Zone Q,2021-12-03,4548
total,State 1,Zone R,2020-11-16,5746
total,State 1,Zone R,2023-12-31,11494
total,State 3,Zone Q,2023-05-08,4507
total,State 1,Zone P,2021-04-16,6390
total,State 2,Zone R,2022-01-23,14026
total,State 3,Zone P,2020-03-23,4548
total,State 2,Zone R,2023-11-10,8293
total,State 3,Zone P,2020-10-13,4918
total,State 3,Zone Q,2021-09-27,4519
total,State 2,Zone P,2020-01-09,11680
total,State 1,Zone P,2022-10-13,5956
total,State 3,Zone R,2022-09-14,4821
total,State 3,Zone Q,2023-04-26,5958
total,State 3,Zone R,2021-01-19,6142
total,State 3,Zone R,2022-01-26,6245
total,State 1,Zone Q,2023-08-05,6922
total,State 3,Zone P,2020-12-29,7401
total,State 1,Zone P,2020-04-13,5695
total,State 1,Zone R,2022-12-11,7023
total,State 2,Zone P,2022-01-29,13258
total,State 3,Zone R,2021-12-14,7050
total,State 3,Zone P,2020-02-15,5013
total,State 1,Zone R,2020-03-31,7657
total,State 3,Zone P,2023-10-08,4343
total,State 3,Zone Q,2020-10-03,6227
total,State 3,Zone Q,2020-04-16,6306
total,State 3,Zone P,2021-07-24,4855
total,State 3,Zone P,2022-11-27,6525
total,State 1,Zone R,2023-12-30,12303
total,State 2,Zone Q,2021-05-06,9376
total,State 1,Zone Q,2023-04-16,7663
total,State 2,Zone P,2023-10-12,11547
total,State 3,Zone Q,2021-01-18,4936
total,State 2,Zone P,2021-12-05,13159
total,State 2,Zone Q,2021-07-27,7065
total,State 1,Zone P,2021-10-07,7368
total,State 1,Zone R,2022-06-16,5459
total,State 2,Zone P,2022-02-10,6924
total,State 1,Zone R,2020-01-31,9990
total,State 2,Zone R,2020-05-30,9405
total,State 2,Zone R,2020-04-05,9648
total,State 3,Zone P,2023-03-22,5669
total,State 1,Zone P,2023-11-10,9744
total,State 3,Zone Q,2020-11-21,6747
total,State 2,Zone Q,2020-12-31,7912
total,State 2,Zone P,2022-08-01,3550
total,State 2,Zone P,2023-08-17,7128
total,State 1,Zone R,2023-04-12,7011
total,State 2,Zone Q,2021-03-12,10127
total,State 2,Zone P,2020-04-05,7125
total,State 2,Zone P,2021-02-05,7821
total,State 1,Zone P,2020-11-07,7582
total,State 2,Zone P,2021-03-12,6078
total,State 1,Zone P,2021-06-03,5752
total,State 3,Zone P,2021-12-17,4661
total,State 3,Zone Q,2023-11-26,7798
total,State 3,Zone Q,2022-11-16,6316
total,State 2,Zone R,2021-11-25,15111
total,State 1,Zone Q,2023-06-30,4877
total,State 3,Zone R,2023-03-22,5341
total,State 3,Zone R,2022-09-26,4070
total,State 1,Zone Q,2022-05-04,6477
total,State 1,Zone P,2022-12-08,9081
total,State 3,Zone Q,2020-08-21,3497
total,State 2,Zone Q,2021-12-13,6330
total,State 2,Zone P,2021-10-04,5121
total,State 2,Zone P,2023-06-18,5528
total,State 3,Zone R,2023-04-24,4734
total,State 2,Zone P,2022-07-16,9794
total,State 3,Zone R,2022-11-05,8392
total,State 1,Zone Q,2022-04-26,5141
total,State 3,Zone Q,2023-07-26,3839
total,State 1,Zone Q,2021-03-12,7540
total,State 3,Zone Q,2021-02-07,4539
total,State 2,Zone P,2023-12-17,13388
total,State 1,Zone Q,2020-05-08,4345
total,State 3,Zone Q,2023-01-17,7893
total,State 3,Zone P,2020-12-30,5298
total,State 1,Zone Q,2022-04-11,6508
total,State 1,Zone Q,2022-05-08,7084
total,State 3,Zone Q,2023-12-12,8571
total,State 1,Zone P,2022-09-27,4717
total,State 2,Zone Q,2022-09-16,10361
total,State 2,Zone P,2020-03-06,8411
total,State 1,Zone Q,2023-11-24,5916
total,State 3,Zone Q,2021-05-13,5439
total,State 3,Zone Q,2020-05-16,7271
total,State 2,Zone R,2021-02-12,10522
total,State 2,Zone R,2021-06-12,6310
total,State 2,Zone Q,2021-05-03,7385
total,State 3,Zone Q,2020-08-05,3373
total,State 1,Zone Q,2022-06-13,3670
total,State 3,Zone P,2021-07-15,3659
total,State 1,Zone P,2020-07-08,3869
total,State 1,Zone R,2021-07-07,4415
total,State 3,Zone Q,2022-04-27,5593
total,State 3,Zone P,2022-03-19,7130
total,State 1,Zone Q,2022-07-24,3878
total,State 3,Zone Q,2022-05-06,4915
total,State 3,Zone Q,2021-02-16,4267
total,State 3,Zone Q,2023-01-07,7450
total,State 1,Zone Q,2021-03-15,5002
total,State 2,Zone Q,2021-09-03,11771
total,State 2,Zone R,2021-05-08,8398
total,State 1,Zone Q,2023-02-24,7312
total,State 1,Zone Q,2023-06-04,6668
total,State 3,Zone P,2023-11-10,7683
total,State 2,Zone R,2023-08-08,5439
total,State 1,Zone Q,2022-01-20,6486
total,State 2,Zone P,2022-01-26,11742
total,State 3,Zone R,2023-10-03,5393
total,State 3,Zone Q,2022-08-13,4759
total,State 2,Zone R,2020-11-19,8810
total,State 1,Zone R,2022-04-24,5618
total,State 1,Zone R,2022-08-30,5063
total,State 3,Zone R,2020-10-28,6399
total,State 2,Zone R,2021-09-23,8919
total,State 3,Zone P,2023-10-10,4024
total,State 3,Zone Q,2022-10-23,5527
total,State 2,Zone P,2020-03-17,9400
total,State 3,Zone Q,2022-01-11,7408
total,State 2,Zone Q,2022-04-23,13516
total,State 3,Zone Q,2021-02-12,3800
total,State 1,Zone P,2023-07-12,3086
total,State 2,Zone P,2021-03-01,7711
total,State 1,Zone R,2022-09-21,5092
total,State 3,Zone R,2021-12-03,4440
total,State 3,Zone R,2023-05-24,4613
total,State 3,Zone R,2020-09-07,4112
total,State 2,Zone Q,2022-03-08,7257
total,State 1,Zone Q,2021-07-14,5130
total,State 1,Zone R,2023-02-11,5799
total,State 2,Zone Q,2022-10-08,12925
total,State 1,Zone P,2021-03-15,4659
total,State 3,Zone Q,2023-10-22,7151
total,State 1,Zone P,2021-04-13,6213
total,State 3,Zone P,2021-08-23,2862
total,State 3,Zone P,2022-09-23,4831
total,State 3,Zone P,2021-07-26,2142
total,State 2,Zone R,2020-04-09,8849
total,State 3,Zone R,2023-05-18,6097
total,State 3,Zone P,2021-03-06,4227
total,State 3,Zone P,2021-01-06,5844
total,State 1,Zone P,2020-12-11,6269
total,State 1,Zone Q,2023-07-25,5324
total,State 3,Zone P,2023-11-06,6163
total,State 3,Zone Q,2022-01-05,5518
total,State 3,Zone Q,2023-12-17,9680
total,State 3,Zone Q,2021-11-11,6770
total,State 2,Zone P,2020-06-02,5089
total,State 1,Zone P,2022-08-02,3259
total,State 3,Zone P,2022-01-31,4456
